GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Library,edu.eci.cvds.tdd.library,App,7,0,0,0,3,0,2,0,2,0
Library,edu.eci.cvds.tdd.library,Library,20,212,8,28,4,45,6,20,0,8
Library,edu.eci.cvds.tdd.library.book,Book,13,15,0,0,3,6,3,2,3,2
Library,edu.eci.cvds.tdd.library.loan,LoanStatus,0,15,0,0,0,2,0,1,0,1
Library,edu.eci.cvds.tdd.library.loan,Loan,12,26,0,0,4,12,4,7,4,7
Library,edu.eci.cvds.tdd.library.user,User,7,10,0,0,3,4,2,3,2,3
